EKSEN1,EKSEN2,EKSEN3,EKSEN4,EKSEN5
-0.04287,209.94,210,-0.042885,29.888
-0.04389,209.94,210,-0.043906,29.885
-0.044926,209.94,210,-0.044942,29.882
-0.045977,209.93,210,-0.045994,29.88
-0.047043,209.93,210,-0.047061,29.877
-0.048126,209.93,210,-0.048145,29.874
-0.049224,209.93,210,-0.049244,29.871
-0.050338,209.93,210,-0.050359,29.868
-0.051469,209.93,210,-0.051491,29.865
-0.052615,209.92,210,-0.052638,29.862
-0.053778,209.92,210,-0.053802,29.859
-0.054957,209.92,210,-0.054982,29.856
-0.056153,209.92,210,-0.056179,29.853
-0.057365,209.92,210,-0.057392,29.85
-0.058594,209.92,210,-0.058623,29.847
-0.05984,209.91,210,-0.059869,29.843
-0.061102,209.91,210,-0.061133,29.84
-0.062382,209.91,210,-0.062414,29.837
-0.063678,209.91,210,-0.063712,29.833
-0.064992,209.91,210,-0.065027,29.83
-0.066323,209.9,210,-0.066359,29.826
-0.067671,209.9,210,-0.067708,29.823
-0.069036,209.9,210,-0.069075,29.819
-0.070419,209.9,210,-0.07046,29.816
-0.07182,209.9,210,-0.071862,29.812
-0.073238,209.89,210,-0.073282,29.808
-0.074674,209.89,210,-0.07472,29.805
-0.076128,209.89,210,-0.076175,29.801
-0.077599,209.89,209.99,-0.077649,29.797
-0.079089,209.89,209.99,-0.079141,29.793
-0.080597,209.88,209.99,-0.080651,29.789
-0.082123,209.88,209.99,-0.082179,29.785
-0.083668,209.88,209.99,-0.083725,29.781
-0.08523,209.88,209.99,-0.08529,29.777
-0.086812,209.88,209.99,-0.086874,29.773
-0.088412,209.87,209.99,-0.088476,29.769
-0.09003,209.87,209.99,-0.090097,29.765
-0.091667,209.87,209.99,-0.091736,29.76
-0.093323,209.87,209.99,-0.093395,29.756
-0.094998,209.86,209.99,-0.095072,29.752
-0.096692,209.86,209.99,-0.096769,29.747
-0.098405,209.86,209.99,-0.098485,29.743
-0.10014,209.86,209.99,-0.10022,29.738
-0.10189,209.85,209.99,-0.10197,29.734
-0.10366,209.85,209.99,-0.10375,29.729
-0.10545,209.85,209.99,-0.10554,29.724
-0.10726,209.85,209.99,-0.10735,29.72
-0.10909,209.84,209.99,-0.10919,29.715
-0.11094,209.84,209.99,-0.11104,29.71
-0.11281,209.84,209.99,-0.11291,29.705
-0.11469,209.84,209.99,-0.1148,29.7
-0.1166,209.83,209.99,-0.11671,29.695
-0.11853,209.83,209.99,-0.11865,29.69
-0.12048,209.83,209.99,-0.1206,29.685
-0.12245,209.82,209.99,-0.12257,29.68
-0.12444,209.82,209.99,-0.12456,29.675
-0.12644,209.82,209.99,-0.12658,29.67
-0.12847,209.82,209.99,-0.12861,29.665
-0.13052,209.81,209.99,-0.13066,29.659
-0.13259,209.81,209.99,-0.13274,29.654
-0.13469,209.81,209.99,-0.13483,29.648
-0.1368,209.8,209.99,-0.13695,29.643
-0.13893,209.8,209.99,-0.13909,29.637
-0.14108,209.8,209.99,-0.14125,29.632
-0.14326,209.79,209.99,-0.14343,29.626
-0.14545,209.79,209.99,-0.14563,29.621
-0.14767,209.79,209.99,-0.14785,29.615
-0.14991,209.79,209.99,-0.15009,29.609
-0.15216,209.78,209.99,-0.15235,29.603
-0.15444,209.78,209.99,-0.15464,29.597
-0.15675,209.78,209.99,-0.15695,29.591
-0.15907,209.77,209.99,-0.15928,29.585
-0.16141,209.77,209.99,-0.16163,29.579
-0.16378,209.77,209.99,-0.164,29.573
-0.16617,209.76,209.99,-0.16639,29.567
-0.16858,209.76,209.99,-0.16881,29.561
-0.17101,209.76,209.99,-0.17125,29.554
-0.17346,209.75,209.99,-0.17371,29.548
-0.17593,209.75,209.99,-0.17619,29.542
-0.17843,209.74,209.99,-0.17869,29.535
-0.18095,209.74,209.99,-0.18122,29.529
-0.18349,209.74,209.99,-0.18377,29.522
-0.18606,209.73,209.99,-0.18634,29.515
-0.18864,209.73,209.99,-0.18893,29.509
-0.19125,209.73,209.99,-0.19155,29.502
-0.19388,209.72,209.99,-0.19419,29.495
-0.19653,209.72,209.99,-0.19685,29.488
-0.19921,209.72,209.99,-0.19953,29.481
