EKSEN1,EKSEN2,EKSEN3,EKSEN4,EKSEN5
0.10165,209.8,210.01,0.10177,29.682
0.10358,209.8,210.01,0.1037,29.676
0.10552,209.79,210.01,0.10566,29.67
0.1075,209.79,210.01,0.10763,29.664
0.10949,209.78,210.01,0.10963,29.658
0.11151,209.78,210.01,0.11166,29.651
0.11355,209.78,210.01,0.1137,29.645
0.11562,209.77,210.01,0.11578,29.639
0.11771,209.77,210.01,0.11787,29.632
0.11982,209.76,210.01,0.11999,29.625
0.12196,209.76,210.01,0.12213,29.619
0.12412,209.76,210.01,0.1243,29.612
0.1263,209.75,210.01,0.12649,29.605
0.12851,209.75,210.01,0.12871,29.598
0.13075,209.74,210.01,0.13095,29.591
0.13301,209.74,210.01,0.13322,29.584
0.13529,209.73,210.01,0.13551,29.577
0.1376,209.73,210.01,0.13782,29.57
0.13993,209.73,210.01,0.14016,29.563
0.14229,209.72,210.01,0.14253,29.556
0.14467,209.72,210.01,0.14492,29.548
0.14708,209.71,210.01,0.14734,29.541
0.14951,209.71,210.01,0.14978,29.533
0.15197,209.7,210.01,0.15224,29.526
0.15446,209.7,210.01,0.15474,29.518
0.15697,209.69,210.01,0.15726,29.51
0.1595,209.69,210.01,0.1598,29.502
0.16206,209.68,210.01,0.16237,29.494
0.16465,209.68,210.01,0.16497,29.486
0.16726,209.67,210.01,0.16759,29.478
0.1699,209.67,210.01,0.17024,29.47
0.17257,209.66,210.01,0.17292,29.462
0.17526,209.66,210.01,0.17562,29.453
0.17798,209.65,210.01,0.17835,29.445
0.18072,209.65,210.01,0.1811,29.436
0.18349,209.64,210.01,0.18389,29.428
0.18629,209.64,210.01,0.1867,29.419
0.18911,209.63,210.01,0.18953,29.41
0.19196,209.62,210.01,0.1924,29.402
0.19484,209.62,210.01,0.19529,29.393
0.19775,209.61,210.02,0.19821,29.384
0.20068,209.61,210.02,0.20115,29.375
0.20364,209.6,210.02,0.20412,29.365
0.20662,209.6,210.02,0.20713,29.356
0.20964,209.59,210.02,0.21015,29.347
0.21268,209.58,210.02,0.21321,29.337
0.21575,209.58,210.02,0.2163,29.328
0.21885,209.57,210.02,0.21941,29.318
0.22197,209.57,210.02,0.22255,29.309
0.22512,209.56,210.02,0.22572,29.299
0.2283,209.55,210.02,0.22891,29.289
0.23151,209.55,210.02,0.23214,29.279
0.23475,209.54,210.02,0.23539,29.269
0.23801,209.53,210.02,0.23868,29.259
0.24131,209.53,210.02,0.24199,29.249
0.24463,209.52,210.02,0.24533,29.239
0.24798,209.52,210.02,0.2487,29.228
0.25136,209.51,210.02,0.2521,29.218
0.25476,209.5,210.02,0.25552,29.208
0.2582,209.5,210.02,0.25898,29.197
0.26166,209.49,210.02,0.26247,29.186
0.26516,209.48,210.02,0.26598,29.175
0.26868,209.48,210.02,0.26953,29.165
0.27223,209.47,210.02,0.2731,29.154
0.27581,209.46,210.02,0.27671,29.143
0.27942,209.45,210.02,0.28034,29.132
0.28306,209.45,210.02,0.284,29.12
0.28673,209.44,210.02,0.2877,29.109
0.29043,209.43,210.02,0.29142,29.098
0.29416,209.43,210.02,0.29517,29.086
0.29792,209.42,210.02,0.29896,29.075
0.30171,209.41,210.02,0.30277,29.063
0.30553,209.4,210.02,0.30662,29.051
0.30937,209.4,210.02,0.31049,29.04
0.31325,209.39,210.02,0.3144,29.028
0.31716,209.38,210.02,0.31833,29.016
0.3211,209.37,210.02,0.3223,29.004
0.32507,209.37,210.02,0.3263,28.991
0.32906,209.36,210.02,0.33033,28.979
0.33309,209.35,210.03,0.33439,28.967
0.33715,209.34,210.03,0.33848,28.954
0.34124,209.34,210.03,0.3426,28.942
0.34537,209.33,210.03,0.34676,28.929
0.34952,209.32,210.03,0.35094,28.916
0.3537,209.31,210.03,0.35516,28.904
0.35791,209.3,210.03,0.35941,28.891
0.36216,209.3,210.03,0.36368,28.878
0.36643,209.29,210.03,0.368,28.865
0.37074,209.28,210.03,0.37234,28.852
0.37508,209.27,210.03,0.37671,28.838
0.37945,209.26,210.03,0.38112,28.825
0.38385,209.25,210.03,0.38556,28.811
0.38828,209.25,210.03,0.39003,28.798
0.39274,209.24,210.03,0.39454,28.784
0.39724,209.23,210.03,0.39907,28.771
0.40177,209.22,210.03,0.40364,28.757
0.40633,209.21,210.03,0.40824,28.743
0.41092,209.2,210.03,0.41287,28.729
0.41554,209.19,210.03,0.41754,28.715
0.42019,209.18,210.03,0.42224,28.701
0.42488,209.18,210.03,0.42697,28.686
0.4296,209.17,210.03,0.43174,28.672
0.43435,209.16,210.03,0.43653,28.658
0.43913,209.15,210.03,0.44136,28.643
0.44395,209.14,210.03,0.44623,28.628
0.44879,209.13,210.03,0.45112,28.614
0.45368,209.12,210.03,0.45605,28.599
0.45859,209.11,210.03,0.46102,28.584
0.46353,209.1,210.03,0.46602,28.569
0.46851,209.09,210.03,0.47105,28.554
0.47352,209.08,210.04,0.47611,28.539
0.47857,209.07,210.04,0.48121,28.523
0.48364,209.06,210.04,0.48634,28.508
0.48875,209.05,210.04,0.49151,28.492
0.49389,209.04,210.04,0.49671,28.477
0.49907,209.03,210.04,0.50194,28.461
0.50428,209.02,210.04,0.50721,28.445
0.50952,209.01,210.04,0.51251,28.43
0.5148,209,210.04,0.51784,28.414
0.5201,208.99,210.04,0.52322,28.398
0.52545,208.98,210.04,0.52862,28.381
0.53082,208.97,210.04,0.53406,28.365
0.53623,208.96,210.04,0.53953,28.349
0.54167,208.95,210.04,0.54504,28.332
0.54715,208.94,210.04,0.55059,28.316
0.55266,208.93,210.04,0.55616,28.299
0.5582,208.92,210.04,0.56178,28.282
0.56378,208.91,210.04,0.56743,28.266
0.56939,208.9,210.04,0.57311,28.249
0.57504,208.89,210.04,0.57883,28.232
0.58072,208.88,210.04,0.58458,28.215
0.58643,208.87,210.04,0.59037,28.197
0.59218,208.86,210.04,0.59619,28.18
0.59796,208.85,210.04,0.60205,28.163
0.60378,208.84,210.04,0.60795,28.145
0.60963,208.83,210.04,0.61388,28.128
0.61552,208.81,210.05,0.61984,28.11
0.62144,208.8,210.05,0.62584,28.092
0.62739,208.79,210.05,0.63188,28.074
0.63338,208.78,210.05,0.63795,28.057
0.6394,208.77,210.05,0.64406,28.038
0.64546,208.76,210.05,0.65021,28.02
0.65155,208.75,210.05,0.65639,28.002
0.65768,208.74,210.05,0.66261,27.984
0.66385,208.72,210.05,0.66886,27.965
0.67004,208.71,210.05,0.67515,27.947
0.67628,208.7,210.05,0.68148,27.928
0.68255,208.69,210.05,0.68784,27.909
0.68885,208.68,210.05,0.69424,27.891
0.69519,208.66,210.05,0.70067,27.872
0.70156,208.65,210.05,0.70715,27.853
0.70797,208.64,210.05,0.71365,27.834
0.71441,208.63,210.05,0.7202,27.814
0.72089,208.62,210.05,0.72678,27.795
0.72741,208.6,210.05,0.7334,27.776
0.73396,208.59,210.05,0.74006,27.756
0.74055,208.58,210.05,0.74675,27.737
0.74717,208.57,210.05,0.75348,27.717
