EKSEN1,EKSEN2,EKSEN3,EKSEN4,EKSEN5
1.7017e-19,210,299.98,2.4809e-23,119.98
-1.7216e-19,210,299.97,7.178e-23,119.98
-1.7308e-19,210,299.97,7.3004e-23,119.98
-1.7215e-19,210,299.97,5.3921e-23,119.98
-1.7215e-19,210,299.97,7.0634e-23,119.98
-1.7247e-19,210,299.97,6.5041e-23,119.98
1.5886e-19,210,299.97,5.1385e-23,119.98
3.2718e-19,210,299.97,6.9126e-23,119.98
1.5685e-19,210,299.97,5.3703e-23,119.98
-2.2525e-19,210,299.97,1.025e-22,119.98
-1.367e-20,210,299.97,1.8594e-23,119.98
-1.9007e-19,210,299.97,4.5894e-23,119.98
-9.5319e-21,210,299.97,7.2007e-23,119.98
1.7129e-19,210,299.97,5.308e-23,119.98
-5.2184e-20,210,299.97,1.2307e-22,119.98
-2.3929e-19,210,299.97,1.3633e-22,119.98
-2.3929e-19,210,299.96,1.1961e-22,119.98
-2.4004e-19,210,299.96,1.2803e-22,119.98
1.482e-19,210,299.96,1.0543e-22,119.97
3.4519e-19,210,299.96,1.1773e-22,119.97
-5.3023e-20,210,299.96,1.6659e-22,119.97
-2.5504e-19,210,299.96,2.0208e-22,119.97
-5.129e-20,210,299.96,1.9021e-22,119.97
-2.5757e-19,210,299.96,1.8733e-22,119.97
-4.8741e-20,210,299.96,1.8689e-22,119.97
-2.6096e-19,210,299.96,2.2828e-22,119.97
-4.7577e-19,210,299.96,2.3617e-22,119.97
-4.7492e-19,210,299.96,2.5934e-22,119.97
-6.9322e-19,210,299.96,2.791e-22,119.97
-4.2512e-19,210,299.96,1.8719e-22,119.97
-3.7653e-19,210,299.95,1.1424e-22,119.97
3.5462e-19,210,299.95,-6.9444e-23,119.97
3.5732e-19,210,299.95,-1.2615e-22,119.97
-1.074e-19,210,299.95,-8.9922e-23,119.97
-3.4429e-19,210,299.95,-3.1377e-23,119.97
-3.4522e-19,210,299.95,-6.1598e-23,119.96
-5.3882e-20,210,299.95,-1.6875e-22,119.96
-2.9799e-19,210,299.95,-1.1163e-22,119.96
-5.114e-20,210,299.95,-1.5363e-22,119.96
-3.0172e-19,210,299.95,-1.3926e-22,119.96
-5.0334e-20,210,299.95,-1.0714e-22,119.96
2.0781e-19,210,299.94,-8.4776e-23,119.96
2.068e-19,210,299.94,-6.5528e-24,119.96
-5.5987e-20,210,299.94,-6.3248e-23,119.96
2.0861e-19,210,299.94,-1.0463e-22,119.96
4.7502e-19,210,299.94,-9.5109e-23,119.96
-1.1978e-19,210,299.94,1.0281e-22,119.96
-1.2191e-19,210,299.94,1.1512e-22,119.96
-1.2191e-19,210,299.94,6.9177e-23,119.96
-3.9759e-19,210,299.94,9.745e-23,119.96
-3.9868e-19,210,299.94,8.3647e-23,119.95
-6.8122e-19,210,299.93,1.2554e-22,119.95
-3.9466e-19,210,299.93,8.0179e-23,119.95
-1.029e-19,210,299.93,7.1768e-23,119.95
1.8954e-19,210,299.93,4.1391e-23,119.95
1.8954e-19,210,299.93,-1.3805e-23,119.95
-4.6667e-19,210,299.93,2.0595e-22,119.95
-4.6432e-19,210,299.93,9.1464e-23,119.95
-1.5998e-19,210,299.93,-1.2067e-23,119.95
1.4735e-19,210,299.93,-7.8503e-23,119.95
7.6806e-19,210,299.92,-2.4584e-22,119.95
7.6561e-19,210,299.92,-1.1392e-22,119.95
1.0771e-18,210,299.92,-2.3905e-22,119.95
1.3991e-18,210,299.92,-3.651e-22,119.94
1.0765e-18,210,299.92,-4.2859e-22,119.94
1.3996e-18,210,299.92,-4.0849e-22,119.94
1.0709e-18,210,299.92,-2.6329e-22,119.94
1.0657e-18,210,299.92,-4.0604e-22,119.94
1.4032e-18,210,299.91,-5.4768e-22,119.94
1.4059e-18,210,299.91,-6.4069e-22,119.94
1.0647e-18,210,299.91,-6.3162e-22,119.94
9.891e-19,210,299.91,-4.8488e-22,119.94
1.3339e-18,210,299.91,-4.82e-22,119.94
9.8596e-19,210,299.91,-4.639e-22,119.94
9.8319e-19,210,299.91,-4.5476e-22,119.94
9.8598e-19,210,299.91,-3.9752e-22,119.93
6.2293e-19,210,299.9,-2.2023e-22,119.93
9.8638e-19,210,299.9,-3.1382e-22,119.93
9.8352e-19,210,299.9,-2.9239e-22,119.93
5.3597e-19,210,299.9,6.3612e-23,119.93
5.4472e-19,210,299.9,2.5786e-22,119.93
5.4766e-19,210,299.9,2.706e-22,119.93
5.5063e-19,210,299.9,4.8719e-22,119.93
9.3662e-19,210,299.89,3.684e-22,119.93
1.329e-18,210,299.89,1.589e-22,119.93
1.7277e-18,210,299.89,2.0064e-22,119.92
1.3317e-18,210,299.89,3.3082e-22,119.92
9.4163e-19,210,299.89,3.6643e-22,119.92
1.3928e-19,210,299.89,6.6705e-22,119.92
1.4243e-19,210,299.89,5.52e-22,119.92
1.4243e-19,210,299.88,5.1794e-22,119.92
1.3923e-19,210,299.88,6.9516e-22,119.92
-2.7065e-19,210,299.88,8.7484e-22,119.92
-2.5764e-19,210,299.88,8.3564e-22,119.92
-2.5107e-19,210,299.88,9.1841e-22,119.92
1.7557e-19,210,299.88,9.3674e-22,119.91
1.0358e-18,210,299.88,5.5072e-22,119.91
1.0425e-18,210,299.87,6.3727e-22,119.91
1.0459e-18,210,299.87,6.5351e-22,119.91
9.5655e-19,210,299.87,1.083e-21,119.91
-1.8094e-20,210,299.87,1.7014e-21,119.91
4.3643e-19,210,299.87,1.9003e-21,119.91
-7.6898e-21,210,299.87,1.7898e-21,119.91
5.316e-19,210,299.86,1.1425e-21,119.91
4.3579e-19,210,299.86,1.7114e-21,119.9
4.5011e-19,210,299.86,1.5421e-21,119.9
9.1184e-19,210,299.86,1.1301e-21,119.9
-5.8894e-19,210,299.86,2.2444e-21,119.9
-1.0578e-18,210,299.86,2.2821e-21,119.9
-1.0652e-18,210,299.85,2.2373e-21,119.9
-1.5338e-18,210,299.85,2.4449e-21,119.9
-1.5338e-18,210,299.85,2.3567e-21,119.9
-1.5489e-18,210,299.85,1.9365e-21,119.89
-5.7514e-19,210,299.85,1.7235e-21,119.89
-5.6748e-19,210,299.84,1.8085e-21,119.89
